"","id","lat","lon","wiki","name","alt_names","place_id","place_name","startmin","startmax","endmin","endmax","description","sources","type","architect_uri"
"1","1166","51.7513","5.13305","","","","1957","Aalburg","1929","0","0","0","Gemeente gesticht in 1929. Kerkgebouw ingrijpend vernieuwd in 1956. Uitbreiding in 1977. 235 zitplaatsen.","","http://vocab.getty.edu/aat/300007391",""
"2","1192","52.376","6.68982","","","","1924","Albergen","1787","0","1841","0","Gebouwd op de fundering van een oude kloosterkerk. Gevolgd door nieuwbouw in 1841.","","http://vocab.getty.edu/aat/300007391",""
"3","1193","52.3754","6.76796","","","","1283","Albergen","1841","0","1953","0","Na verbouw oude kerk, gesloopt in 1953 voor nieuwbouw.","","http://vocab.getty.edu/aat/300007391",""
"4","1223","51.7703","4.9575","","","","3300","Almkerk","0","0","0","0","Samenkomt van de gereformeerde kerk vrijgemaakt in het muziekgebouw. Gesloopt.","","http://vocab.getty.edu/aat/300007391",""
"5","1224","51.7722","4.96438","","","","3300","Almkerk","0","0","0","0","Voormalig bedrijfsgeb.ouw. Buiten gebruik sinds 1994. Houten gebouw","","http://vocab.getty.edu/aat/300007391",""
"6","1234","51.2213","5.6813","","","","1974","Altweerterheide","1723","0","0","0","","","http://vocab.getty.edu/aat/300007391",""
"7","1235","51.9555","4.96213","","","","2106","Ameide","0","0","0","0","","","http://vocab.getty.edu/aat/300007391",""
"8","1256","52.296","4.86201","","","","1050","Amstelveen","1961","0","0","0","","","http://vocab.getty.edu/aat/300007466",""
"9","1315","51.7841","5.05349","","","","3301","Andel","1300","1500","0","0","Andel, Romboutstoren; jk 09-10-2011
De Romboutstoren aan Hoofdgraaf 6 is datgene wat over is van de vroegere kerk van Neer Andel. Het betrof een laatgotische kerk met 14e-eeuwse toren die een bakstenen spits bezit. Een bakstenen spits is zeer zeldzaam in Noord-Brabant. Van het kerkje is slechts de ruïne van de zuidkapel overgebleven nadat het midden 19e eeuw werd gesloopt. Toren en kapel zijn in 1954 gerestaureerd. Op het kerkhof bij deze toren is Jan Claesen begraven. De legende wil dat dit de Jan Claesen is, die trompetter was in het leger van de Prins van Oranje.","","http://vocab.getty.edu/aat/300007391",""
"10","1342","52.2204","5.92399","","","","3560","Apeldoorn","1920","0","1933","0","","","http://vocab.getty.edu/aat/300007391",""
"11","1368","52.9957","6.56227","","","","2391","Assen","1840","0","1876","0","Gesloopt voor nieuwbouw in 1876.","","http://vocab.getty.edu/aat/300007391",""
"12","1374","51.4027","5.74606","","","","2928","Asten","1479","0","1899","0","","","http://vocab.getty.edu/aat/300007391",""
"13","1398","51.8594","4.52487","","","","1594","Barendrecht","1929","0","1966","0","Buiten gebruik. Gesloopt in 1966.","","http://vocab.getty.edu/aat/300007391",""
"14","1399","51.859","4.5259","","","","1594","Barendrecht","1873","0","1929","0","Voormalige Gereformeerde Kerk. Sinds 1898 Christelijk Gereformeerde kerk. 
Buiten gebruik geraakt in 1929.","","http://vocab.getty.edu/aat/300007391",""
"15","1404","52.1341","5.59055","","","","3597","Barneveld","1982","0","2012","0","In 1981-1982 is aan de Van de Bogertlaan deze kerk voor de Gereformeerde Gemeenten in Nederland gebouwd. Architect van Beijnum maakte het ontwerp. In 1989 is de kerk uitgebreid naar 1800 zitplaatsen. Opnieuw werd de kerk te klein. Besloten werd om aan de Lunterseweg een nieuwe kerk te bouwen. In januari 2007 is hiermee begonnen. De kerk krijgt 2500 zitplaatsen. Er kunnen zo nodig nog 300 stoelen worden bijgezet. De eerste kerkdienst was op 17 september 2008. De oude kerk is gekocht door een inwoner van Barneveld. (60-08)","","http://vocab.getty.edu/aat/300007391",""
"16","1407","51.5794","4.81096","","","","3624","Bavel","1683","0","0","0","","","http://vocab.getty.edu/aat/300007391",""
"17","1408","51.5799","4.76945","","","","3622","Bavel","1743","0","0","0","","","http://vocab.getty.edu/aat/300007391",""
"18","1409","51.5657","4.82937","","","","3624","Bavel","1300","1400","1888","0","","","http://vocab.getty.edu/aat/300007391",""
"19","1410","51.5781","4.81206","","","","3624","Bavel","1400","1500","1876","0","","","http://vocab.getty.edu/aat/300007391",""
"20","1429","52.009","4.98083","","","","1958","Benschop","1956","0","0","0","Houten kerk, tijdelijk gedurende de restauratie van de Nicolaaskerkkerk, buiten gebruik sinds 1959.","","http://vocab.getty.edu/aat/300007391",""
"21","1452","51.5791","5.13478","","","","1044","Berkel-Enschot","1765","0","1904","0","Buiten gebruik in 1899, gesloopt in 1904 voor nieuwbouw.","","http://vocab.getty.edu/aat/300007391",""
"22","1453","51.5904","5.14346","","","","1044","Berkel-Enschot","1400","1500","0","0","Reeds in 1214 werd er een kerk te Berkel vermeld. Bekend is dat in 1440 het gebouw werd vernieuwd. In 1983 werden grote fundamenten van deze kerk blootgelegd in o.a. de garage van de pastorie. In 1852, als Berkel een zelfstandige parochie wordt, herstelt men de oude kapel. In 1857 wordt een nieuwe westelijke toren tegen de kerk geplaatst. Het ontwerp is van H.J. van Tulder. In 1910 wordt het schip van de middeleeuwse kapel gesloopt om plaats te maken voor een nieuwe kerk van J. Stuyt. Deze architect ommetselt ook de 19e eeuwse toren.","","http://vocab.getty.edu/aat/300007391",""
"23","1454","51.5924","5.14255","","","","1044","Berkel-Enschot","1923","0","1679","0","","","http://vocab.getty.edu/aat/300007391",""
"24","1586","52.4373","6.23677","","","","1492","Dalfsen","0","0","0","0","Tot 1945 Gereformeerde kerk, daarna tot 1971 Gereformeerde Kerk Vrijgemaakt. De sloop vond rond 1990 plaats.","","http://vocab.getty.edu/aat/300007391",""
"25","1593","53.1558","4.87244","","","","2737","De Cocksdorp","1841","0","0","0","Dit is de voorloper van de huidige Francisca Romana kerk. De voorloper was een tot hulpkerkje verbouwde smederij waar pastoor v.d. Bosch vanaf april 1841 de diensten leidde. Zijn pastorie was tegen het kerkje aangebouwd. De kerk bestond uit niet meer dan vier kale muren zonder preekstoel, doopvont en altaar. Kerkje en pastorie hadden de lieve som van f 3.950,- gekost.","","http://vocab.getty.edu/aat/300007391",""
"26","1596","51.9751","4.25136","","","","2655","De Lier","1857","0","1968","0","Sloop 1968.","","http://vocab.getty.edu/aat/300007391",""
"27","1597","51.9758","4.25513","","","","2655","De Lier","1851","0","1857","0","Voormalige woning, sloop, nu verzorgingskapel Triangel, buiten gebruik 1857.","","http://vocab.getty.edu/aat/300007391",""
"28","1598","51.9758","4.25031","","","","2655","De Lier","1872","0","1929","0","Ondanks dat er in 1872 in De Lier maar zo’n 7 à 8 katholieke gezinnen wonen, willen de broers Cornelis, Gerardus en Leonardus van Rijn graag een eigen kerk voor deze mensen stichten. Met de pastoor van Naaldwijk gaat Cornelis van Rijn naar de bisschop van Haarlem om toestemming te vragen voor de bouw van een bijkerk in De Lier. De broers Van Rijn zullen de financiering van de bouwkosten voor hun rekening nemen en door een storting van fl. 7.000,-- in een fonds voor het onderhoud van een kapelaan kan de toestemming niet uitblijven.","","http://vocab.getty.edu/aat/300007391",""
"29","1603","53.0728","4.82301","","","","2739","De Waal","1723","0","0","0","","","http://vocab.getty.edu/aat/300007391",""
"30","1647","53.0276","4.75747","","","","2741","Den Hoorn","1827","0","0","0","","","http://vocab.getty.edu/aat/300007391",""
"31","1648","53.222","6.45284","","","","2117","Den Horn","1300","1400","0","0","","","http://vocab.getty.edu/aat/300007391",""
"32","1691","51.6211","4.94036","","","","2799","Dongen","1957","0","1984","0","","","http://vocab.getty.edu/aat/300007391",""
