"Paleis op de Dam","1365"
"Centraal Station","969"
"Artis","820"
"Wilhelmina Gasthuis","813"
"Munttoren","796"
"Nieuwe Kerk","747"
"Waag (Nieuwmarkt)","689"
"Gemeentearchief Amsterdam","606"
"Rijksmuseum","518"
"Burgerweeshuis (Kalverstraat)","419"
"Concertgebouw","401"
"Stadsschouwburg","389"
"Scheepvaarthuis","365"
"Binnengasthuis","355"
"Paleis voor Volksvlijt","348"
"Koninklijk Theater Carré","311"
"Europahal (RAI)","307"
"Noorderkerk","301"
"Felix Meritis","285"
"Amstelhof","277"
"Amsterdamse Droogdok Maatschappij","277"
"Havengebouw","257"
"Trippenhuis","255"
"De Bazel","236"
"De Bijenkorf|Beurs van Zocher","235"
"Zuiderkerk","234"
"Westerkerk","223"
"Nieuwe Werkhuis","220"
"Ronde Lutherse Kerk","219"
"Maagdenhuis","211"
"Sint Olofskapel","207"
"Vondelkerk","203"
"Olympisch Stadion","197"
"Frankendael","191"
"Sint Nicolaaskerk","188"
"Hortus Botanicus","184"
"Scheepvaartmuseum","180"
"Nieuwe Oosterbegraafplaats","176"
"Amstelkerk","171"
"Oude Kerk","170"
"Oosterkerk","167"
"Huis Bartolotti","160"
"Grote Walenkerk","155"
"Engelse kerk","154"
"Amstel Hotel","154"
"Montelbaanstoren","151"
"Koopmansbeurs","137"
"Paleis van Justitie","135"
"Koninklijk Instituut voor de Tropen","134"
"Muiderpoort","132"
"werf Monumentenzorg","127"
"Ajax Stadion (De Meer)","124"
"West-Indisch Huis","120"
"Oude Lutherse Kerk","114"
"Amstelstation","113"
"Mozes en Aäronkerk","112"
"Agnietenkapel","109"
"Haarlemmerpoort","106"
"Tuschinski Theater","106"
"Hollandsche Manege","99"
"Apollohal","96"
"De Posthoorn (R.K. Kerk)|Posthoornkerk","95"
"Westergasfabriek","93"
"Onze Liever Heer op Zolder","86"
"Waalse Kerk","83"
"Oost-Indisch Huis","75"
"Huis met de Hoofden","72"
"Beurs van Berlage","70"
"Leidsepoort","69"
"De Krijtberg (R.K. Kerk)","66"
"Huis met de Kabouters","62"
"Engelse Episcopale Kerk","61"
"Barlaeus Gymnasium","59"
"De Rode Hoed","59"
"Rembrandthuis","58"
